Roast Id,Green Id,Roast Date,Peak Inlet Temp,Roast Recipe Inlet Difference at Peak,Peak Inlet Temp Time,Peak Inlet RoR,Peak Inlet RoR Time
PR-17466,PG-0432,05/07/2025,691.2,6.2,519,4.9,499
PR-17484,PG-0432,05/09/2025,692.8,7.8,553,5.5,555
PR-17485,PG-0432,05/09/2025,691,6,553,3.5,532
PR-17499,PG-0432,05/14/2025,690.4,5.4,535,4.3,520
PR-17476,PG-0446,05/07/2025,691.9,6.9,509,4.7,512
PR-17477,PG-0446,05/07/2025,690.6,5.6,502,3.3,480
PR-17510,PG-0446,05/14/2025,692.6,7.6,504,3.7,492
PR-17511,PG-0446,05/14/2025,692.6,7.6,519,4.6,509
PR-17478,PG-0447,05/07/2025,705.4,5.4,455,3.2,475
PR-17493,PG-0447,05/09/2025,704.5,4.5,445,2.6,446
PR-17546,PG-0447,05/21/2025,704.8,4.8,462,3.4,435
PR-17547,PG-0447,05/21/2025,705,5,454,3.2,443
PR-17470,PG-0455,05/07/2025,672.1,7.1,437,4.4,428
PR-17500,PG-0455,05/14/2025,671.5,6.5,429,3.3,414
PR-17534,PG-0455,05/21/2025,670.6,5.6,445,3.2,413
PR-17479,PG-0456,05/07/2025,733.1,8.1,489,5.7,491
PR-17480,PG-0456,05/07/2025,732.6,7.6,487,5.1,489
PR-17481,PG-0456,05/07/2025,733.3,8.3,492,5.4,494
PR-17494,PG-0456,05/09/2025,733.6,8.6,498,5.8,496
PR-17495,PG-0456,05/09/2025,733.3,8.3,496,5.1,478
PR-17496,PG-0456,05/09/2025,733.6,8.6,506,5.8,492
PR-17497,PG-0456,05/09/2025,733.3,8.3,493,5.7,494
PR-17512,PG-0456,05/14/2025,734,9,502,8.6,502
PR-17513,PG-0456,05/14/2025,732.6,7.6,500,3.7,495
PR-17514,PG-0456,05/14/2025,732.7,7.7,497,4.8,491
PR-17548,PG-0456,05/21/2025,732,7,491,4.1,482
PR-17549,PG-0456,05/21/2025,733.5,8.5,498,5.6,494
PR-17550,PG-0456,05/21/2025,732.9,7.9,499,4.8,493
PR-17551,PG-0456,05/21/2025,732.9,7.9,502,4.8,501
PR-17471,PG-0460,05/07/2025,692.1,7.1,461,5.2,463
PR-17472,PG-0460,05/07/2025,692.4,7.4,471,4.7,458
PR-17473,PG-0460,05/07/2025,693.3,8.3,477,4.8,467
PR-17486,PG-0460,05/09/2025,691.7,6.7,464,5.8,465
PR-17487,PG-0460,05/09/2025,691.9,6.9,461,5.6,463
PR-17502,PG-0460,05/14/2025,692.8,7.8,504,5.7,496
PR-17503,PG-0460,05/14/2025,691.9,6.9,502,4.6,492
PR-17504,PG-0460,05/14/2025,693.1,8.1,502,4.6,491
PR-17505,PG-0460,05/14/2025,692.2,7.2,509,5,509
PR-17506,PG-0460,05/14/2025,692.6,7.6,505,6.4,504
PR-17536,PG-0460,05/21/2025,692.1,7.1,491,5.2,492
PR-17537,PG-0460,05/21/2025,692.2,7.2,495,3.6,471
PR-17538,PG-0460,05/21/2025,693.1,8.1,498,5.2,486
PR-17539,PG-0460,05/21/2025,692.1,7.1,497,4,491
PR-17540,PG-0460,05/21/2025,692.4,7.4,496,5.2,490
PR-17541,PG-0460,05/21/2025,692.6,7.6,493,4.4,485
PR-17542,PG-0460,05/21/2025,692.1,7.1,495,4.1,480
PR-17474,PG-0466,05/07/2025,691.7,6.7,503,4.9,504
PR-17475,PG-0466,05/07/2025,691,6,497,3.4,477
PR-17489,PG-0466,05/09/2025,692.6,7.6,498,4.5,494
PR-17490,PG-0466,05/09/2025,692.8,7.8,517,5.9,504
PR-17491,PG-0466,05/09/2025,693.1,8.1,515,5.5,501
PR-17492,PG-0466,05/09/2025,691.7,6.7,512,4.7,504
PR-17508,PG-0466,05/14/2025,691.2,6.2,512,3.7,502
PR-17509,PG-0466,05/14/2025,691.5,6.5,502,3.1,506
PR-17543,PG-0466,05/21/2025,691.2,6.2,490,2.9,480
PR-17544,PG-0466,05/21/2025,690.8,5.8,500,4.3,479
PR-17545,PG-0466,05/21/2025,691.5,6.5,502,3.8,473
